     No, No1, No2, No3, No4, No5, No6, No7
12008,6,8,30,31,32,1,11
12007,4,5,13,17,25,7,10
12006,3,20,22,25,27,1,9
12005,1,2,29,31,33,7,12
12004,10,11,22,31,32,6,7
12003,16,22,24,33,34,3,10
12002,3,11,14,26,29,7,8
12001,7,27,28,32,33,1,12
11154,4,12,16,20,28,8,11
11153,6,22,29,30,35,3,5
11152,1,4,6,21,35,2,11
11151,7,11,14,20,27,3,10
11150,13,22,30,33,34,6,12
11149,2,7,12,29,31,3,5
11148,7,10,11,26,31,3,4
11147,1,15,16,27,28,2,7
11146,9,13,19,29,34,2,11
11145,7,15,19,24,29,4,6
11144,7,18,24,28,33,2,3
11143,8,9,12,25,33,7,10
11142,4,26,30,33,34,4,6
11141,2,11,19,22,35,10,12
11140,1,12,32,33,34,9,11
11139,4,6,10,15,16,3,4
11138,17,23,26,30,32,6,12
11137,2,15,18,23,31,1,2
11136,8,9,11,19,33,3,12
11135,6,22,29,33,35,3,12
11134,1,10,12,14,17,9,10
11133,4,11,23,26,35,3,12
11132,12,14,16,19,33,2,9
11131,3,5,12,18,33,7,11
11130,8,9,13,23,35,11,12
11129,1,7,13,18,23,4,8
11128,3,4,6,11,13,1,2
11127,1,11,22,26,29,5,8
11126,7,17,29,30,33,10,12
11125,7,10,27,34,35,10,12
11124,8,12,14,20,25,6,8
11123,10,14,18,19,35,1,6
11122,3,8,23,24,34,5,12
11121,2,3,30,31,33,3,9
11120,20,25,26,30,31,9,10
11119,4,15,20,26,31,6,12
11118,4,7,11,32,35,5,7
11117,10,12,28,32,33,3,5
11116,10,15,18,19,26,7,12
11115,17,26,30,31,35,6,11
11114,6,8,17,27,35,2,11
11113,4,5,7,10,12,4,5
11112,6,17,28,32,33,8,12
11111,2,11,13,23,31,11,12
11110,30,31,33,34,35,4,7
11109,1,11,12,22,34,8,10
11108,7,15,18,24,28,1,7
11107,2,6,18,30,32,1,8
11106,1,9,29,30,35,5,9
11105,2,11,26,32,33,5,12
11104,7,19,27,28,34,2,5
11103,3,4,26,29,34,1,3
11102,19,24,28,31,34,4,12
11101,5,12,20,28,30,3,7
11100,8,11,13,28,33,8,9
11099,2,6,9,12,20,5,8
11098,6,7,28,33,35,1,10
11097,4,19,28,31,33,11,12
11096,3,8,20,24,25,1,2
11095,9,12,17,19,29,6,11
11094,11,21,22,32,34,4,8
11093,4,6,8,19,31,10,11
11092,10,17,19,32,33,1,12
11091,11,17,23,29,30,6,8
11090,2,4,29,30,34,5,8
11089,5,6,23,27,34,3,4
11088,20,21,27,29,35,3,8
11087,6,13,20,25,34,7,9
11086,4,5,6,9,15,1,6
11085,2,17,19,21,22,3,10
11084,14,29,31,34,35,1,12
11083,6,8,18,20,24,4,8
11082,7,20,25,30,32,5,9
11081,4,13,20,21,35,2,9
11080,5,12,30,31,32,1,3
11079,1,3,23,30,31,2,10
11078,4,9,16,27,30,2,6
11077,5,8,19,33,34,1,12
11076,18,23,25,29,30,1,2
11075,6,9,20,23,28,6,10
11074,7,16,23,28,31,3,6
11073,13,19,20,22,33,5,11
11072,3,11,13,20,35,3,8
11071,27,31,33,34,35,4,6
11070,9,19,22,29,30,2,8
11069,3,5,28,29,33,4,12
11068,1,13,16,18,32,7,9
11067,10,17,22,24,32,3,10
11066,6,13,18,20,33,9,10
11065,3,11,14,25,34,1,4
11064,1,6,27,30,34,1,6
11063,10,17,18,26,32,1,5
11062,6,10,17,20,21,3,7
11061,6,7,16,18,20,4,10
11060,3,25,29,32,34,9,10
11059,9,16,21,29,34,7,10
11058,1,9,27,32,33,3,6
11057,7,11,30,31,34,9,12
11056,3,5,29,30,31,8,10
11055,1,7,31,32,35,2,10
11054,5,9,16,26,35,3,10
11053,3,16,28,31,32,1,9
11052,13,24,31,32,33,3,9
11051,6,8,12,17,18,5,10
11050,4,7,29,32,33,8,10
11049,5,6,10,22,25,1,9
11048,13,17,25,27,28,2,3
11047,2,15,22,33,35,5,8
11046,9,15,16,19,29,4,6
11045,13,21,22,29,31,7,11
11044,11,21,24,26,31,6,7
11043,2,8,23,33,35,5,10
11042,6,9,18,30,32,10,12
11041,4,5,11,13,25,3,6
11040,3,7,15,18,20,1,6
11039,1,11,14,22,34,6,8
11038,7,9,11,13,33,10,12
11037,1,12,14,22,24,10,12
11036,3,18,29,30,33,8,9
11035,3,4,13,15,32,4,9
11034,3,6,9,17,27,3,9
11033,3,19,24,29,33,3,9
11032,7,16,23,31,33,3,10
11031,12,17,19,22,35,4,11
11030,15,19,25,30,33,3,8
11029,3,9,17,24,28,6,12
11028,1,2,13,17,28,1,4
11027,5,14,25,34,35,2,5
11026,1,9,15,20,29,7,9
11025,8,9,25,28,29,2,10
11024,12,15,16,20,33,8,12
11023,5,13,16,18,24,2,12
11022,9,14,24,25,34,1,4
11021,1,9,13,17,30,2,8
11020,9,12,19,22,28,1,5
11019,8,21,23,27,33,6,11
11018,16,22,24,32,34,2,10
11017,16,19,24,26,31,2,4
11016,15,20,30,33,35,6,9
11015,8,18,19,22,23,1,3
11014,2,14,20,21,24,2,9
11013,5,8,14,28,30,4,6
11012,3,12,19,25,30,8,11
11011,2,17,23,24,30,2,9
11010,4,8,10,14,27,5,7
11009,9,10,11,14,24,3,8
11008,1,23,26,27,30,5,6
11007,14,24,32,33,35,2,9
11006,2,8,16,26,35,11,12
11005,1,7,25,27,30,7,12
11004,7,8,10,23,25,7,9
11003,1,24,27,30,31,1,6
11002,11,13,27,28,29,2,6
11001,7,8,15,32,34,5,12
10153,6,7,16,24,35,4,6
10152,2,5,18,22,23,7,12
10151,1,10,32,33,35,3,8
10150,5,24,28,29,35,1,9
10149,5,22,24,25,30,1,6
10148,3,4,8,10,35,2,6
10147,1,15,19,21,23,11,12
10146,14,17,30,31,34,4,10
10145,18,19,27,28,33,3,6
10144,2,11,16,22,31,10,11
10143,10,16,18,22,27,6,8
10142,10,11,19,21,27,4,6
10141,5,11,17,23,33,3,10
10140,6,18,20,30,31,3,6
10139,3,13,16,19,29,7,9
10138,8,12,14,19,27,5,6
10137,22,27,28,33,35,9,11
10136,3,13,18,30,33,7,8
10135,14,17,19,26,32,3,4
10134,9,12,13,19,30,4,5
10133,11,16,17,21,22,3,6
10132,18,21,23,25,29,6,11
10131,10,15,22,28,29,4,12
10130,5,6,9,10,34,8,11
10129,14,15,24,25,26,3,7
10128,6,17,19,29,35,2,8
10127,3,22,24,30,33,4,10
10126,3,5,9,13,33,5,11
10125,1,7,9,14,19,9,12
10124,1,9,27,29,34,1,6
10123,18,20,30,32,33,1,11
10122,5,6,11,13,26,2,7
10121,21,22,31,32,34,2,12
10120,8,10,18,34,35,6,10
10119,5,13,14,23,26,2,3
10118,19,22,23,29,35,8,10
10117,4,6,21,27,34,5,9
10116,14,22,27,28,35,4,10
10115,5,7,10,15,32,3,8
10114,3,7,22,25,35,3,11
10113,5,16,22,23,32,4,10
10112,14,15,18,34,35,8,10
10111,3,6,13,14,29,1,2
10110,21,29,30,33,35,7,11
10109,1,2,8,11,25,10,12
10108,1,10,13,19,34,9,12
10107,14,17,22,27,34,3,5
10106,5,27,28,29,34,9,12
10105,5,17,26,27,35,8,9
10104,14,25,30,32,33,1,11
10103,10,14,29,30,35,5,8
10102,4,15,19,24,35,1,10
10101,11,15,22,27,35,5,8
10100,19,20,30,33,35,6,8
10099,3,11,17,21,30,1,8
10098,2,3,12,13,25,1,7
10097,9,17,21,28,29,2,8
10096,4,9,24,30,35,1,10
10095,12,14,16,19,25,1,6
10094,20,32,33,34,35,6,7
10093,2,4,9,28,29,5,8
10092,2,15,29,30,34,2,12
10091,6,10,23,26,31,5,7
10090,8,24,26,31,32,7,9
10089,4,10,13,18,23,8,10
10088,3,5,14,30,35,3,6
10087,1,12,20,21,24,2,8
10086,1,2,12,19,35,5,7
10085,2,10,16,18,34,2,3
10084,3,13,14,22,26,2,5
10083,7,11,21,22,35,4,7
10082,5,8,24,29,30,4,6
10081,14,18,20,24,27,5,10
10080,8,19,27,29,34,4,10
10079,1,4,21,22,24,2,5
10078,2,3,15,28,35,1,11
10077,6,7,9,17,24,2,12
10076,9,12,16,19,35,2,12
10075,10,12,17,23,27,5,7
10074,3,7,20,27,32,2,12
10073,4,9,11,30,32,1,11
10072,5,10,17,23,25,3,10
10071,7,12,26,30,32,2,7
10070,5,14,23,25,28,11,12
10069,6,17,18,25,29,8,9
10068,11,17,19,20,34,6,10
10067,1,11,19,30,32,3,10
10066,15,21,22,24,27,1,6
10065,5,8,13,14,32,8,11
10064,7,10,12,20,21,6,9
10063,7,14,16,30,31,3,6
10062,6,7,18,30,31,7,8
10061,5,12,14,17,22,5,7
10060,10,13,22,33,34,1,5
10059,6,10,14,25,34,1,3
10058,6,15,17,19,30,1,12
10057,15,17,24,32,35,7,9
10056,5,9,23,25,30,9,12
10055,13,14,17,27,32,2,10
10054,12,25,29,30,33,10,11
10053,9,19,22,26,34,9,11
10052,4,6,25,29,32,5,6
10051,6,10,20,24,32,6,10
10050,7,8,15,30,35,5,10
10049,1,25,29,31,33,4,10
10048,2,3,10,12,25,3,9
10047,4,8,11,30,31,2,8
10046,2,15,19,26,27,5,6
10045,8,17,18,20,28,9,10
10044,6,21,24,28,30,2,7
10043,5,8,10,33,35,2,10
10042,1,5,19,34,35,6,7
10041,16,22,28,29,34,4,12
10040,13,20,26,31,35,2,11
10039,7,19,26,28,32,1,8
10038,8,10,25,29,33,1,2
10037,19,21,26,34,35,1,9
10036,19,25,28,31,33,1,8
10035,14,16,20,31,34,1,7
10034,1,6,19,25,26,3,9
10033,12,19,28,29,30,5,8
10032,13,16,23,24,33,7,11
10031,5,13,16,17,35,6,8
10030,10,12,19,32,35,2,7
10029,21,22,33,34,35,3,4
10028,1,2,7,20,35,1,3
10027,5,23,26,32,34,2,9
10026,5,23,25,31,35,7,10
10025,9,11,13,14,25,1,7
10024,3,14,19,24,25,4,11
10023,11,13,29,32,33,2,8
10022,2,11,13,14,25,2,5
10021,11,20,23,24,25,7,9
10020,8,18,26,32,33,1,6
10019,3,11,19,26,27,2,9
10018,3,10,26,32,33,4,12
10017,13,21,23,27,34,9,12
10016,10,12,20,23,32,4,10
10015,3,10,14,18,28,8,10
10014,18,19,30,33,35,2,4
10013,18,21,22,26,34,9,12
10012,20,24,30,31,33,5,12
10011,2,3,11,27,32,8,11
10010,15,22,24,32,35,2,9
10009,2,5,13,27,32,3,11
10008,11,23,25,31,32,5,11
10007,7,23,26,29,32,8,11
10006,3,13,19,30,34,2,5
10005,4,17,19,22,30,2,3
10004,3,6,21,24,34,4,6
10003,5,14,23,27,30,2,8
10002,4,23,25,26,30,7,10
10001,2,6,7,12,27,2,8
9153,21,22,30,32,34,3,7
9152,1,23,29,30,32,7,12
9151,3,8,14,30,31,4,9
9150,4,11,18,25,34,5,7
9149,1,3,10,12,20,2,7
9148,2,4,13,14,33,1,9
9147,6,12,18,22,29,5,8
9146,11,17,23,24,25,3,6
9145,5,11,14,22,35,3,10
9144,18,26,32,33,34,4,6
9143,1,9,10,11,22,1,12
9142,5,6,13,24,31,3,11
9141,13,14,21,30,33,2,8
9140,7,8,19,26,30,1,12
9139,14,16,20,22,32,5,9
9138,3,4,14,28,32,9,10
9137,12,28,29,30,34,1,9
9136,7,13,23,24,29,6,10
9135,6,8,15,20,32,5,6
9134,2,16,19,28,33,7,11
9133,1,8,24,27,34,10,11
9132,2,10,12,15,28,4,7
9131,2,3,8,33,34,3,11
9130,9,14,25,32,34,2,8
9129,2,10,18,32,33,3,8
9128,6,21,28,32,34,4,7
9127,5,9,27,32,34,5,8
9126,14,23,27,28,33,8,12
9125,8,20,23,29,31,2,11
9124,1,3,14,32,35,7,11
9121,4,5,8,11,22,2,10
9120,11,23,27,28,32,2,5
9119,3,12,22,23,28,4,12
9118,10,17,18,21,34,5,11
9117,7,21,29,31,33,9,10
9116,12,15,23,30,33,9,12
9115,1,2,6,8,26,5,12
9114,2,8,25,29,33,3,7
9113,3,4,10,18,27,6,8
9112,2,8,12,34,35,4,5
9111,4,11,13,19,35,10,12
9110,22,28,30,31,34,7,9
9109,2,11,13,26,35,6,10
9108,1,9,14,29,30,7,10
9107,11,12,33,34,35,1,10
9106,11,21,22,25,34,6,9
9105,1,25,26,34,35,6,11
9104,15,25,29,32,33,10,11
9103,16,20,28,32,33,1,2
9102,11,13,29,32,35,10,12
9101,2,10,14,22,26,4,9
9100,16,20,25,29,33,1,8
9099,3,9,21,23,33,6,10
9098,11,17,19,25,26,2,10
9097,6,13,14,22,25,1,4
9096,7,12,28,32,33,1,3
9095,8,18,24,30,33,1,6
9094,1,5,21,23,29,5,12
9093,7,9,22,30,33,9,11
9092,10,21,22,27,29,8,12
9091,1,5,17,32,34,3,7
9090,18,25,30,33,34,4,10
9089,3,6,11,19,27,2,7
9088,13,16,27,32,34,3,9
9087,10,24,28,30,33,1,10
9086,1,2,7,26,29,10,12
9085,6,13,27,33,34,9,12
9084,5,9,19,26,35,2,10
9083,2,5,28,34,35,1,7
9082,5,11,26,29,32,8,11
9081,2,15,20,25,33,3,6
9080,7,16,19,29,35,2,11
9079,1,2,7,13,34,4,10
9078,11,23,26,31,34,5,11
9077,7,20,28,32,34,6,8
9076,3,9,11,18,24,4,5
9075,1,7,11,32,33,9,11
9074,15,17,19,23,32,1,11
9073,1,10,19,21,30,1,4
9072,23,26,29,32,33,5,10
9071,4,20,29,30,33,2,11
9070,10,21,24,30,31,3,10
9069,14,16,27,30,33,8,12
9068,2,12,15,20,28,1,12
9067,3,6,25,28,32,2,5
9066,1,8,19,24,31,6,12
9065,1,12,24,27,32,2,11
9064,6,10,11,17,34,11,12
9063,5,6,18,21,22,1,7
9062,4,22,23,29,31,5,11
9061,2,10,21,26,34,2,10
9060,18,28,29,30,31,4,8
9059,2,13,14,29,33,4,11
9058,8,10,14,27,32,2,7
9057,6,15,22,27,30,2,9
9056,4,13,17,32,35,3,6
9055,5,8,14,23,24,5,6
9054,2,12,19,29,30,7,12
9053,5,9,24,31,33,5,6
9052,23,24,30,34,35,1,3
9051,3,11,22,26,29,5,12
9050,5,15,28,32,33,8,9
9049,5,16,28,29,34,11,12
9048,5,6,22,25,27,11,12
9047,13,18,21,24,29,3,6
9046,1,9,24,34,35,4,9
9045,1,9,14,24,35,6,9
9044,1,7,18,29,34,3,9
9043,5,21,22,32,35,2,5
9042,11,24,25,26,31,2,7
9041,5,9,20,23,29,4,10
9040,3,16,30,32,33,1,10
9039,1,3,7,10,33,3,4
9038,6,17,20,29,32,4,5
9037,17,18,19,25,31,1,11
9036,2,12,26,31,33,9,10
9035,3,7,9,28,33,3,8
9034,5,19,31,32,35,4,9
9033,2,8,18,21,32,8,11
9032,4,12,20,26,29,6,10
9031,7,11,19,21,22,1,11
9030,1,7,27,30,32,1,4
9029,3,4,13,17,24,4,11
9028,6,20,30,32,35,9,11
9027,3,22,26,33,34,9,10
9026,24,30,31,32,34,10,12
9025,3,17,22,23,33,4,10
9024,29,31,32,33,35,10,11
9023,15,17,21,27,33,7,11
9022,12,14,17,34,35,4,11
9021,1,15,31,32,34,3,8
9020,5,16,18,32,35,2,11
9019,4,29,31,32,35,4,10
9018,1,6,13,28,29,3,9
9017,5,11,23,26,33,4,12
9016,10,11,20,26,27,9,11
9015,1,5,10,16,27,3,4
9014,8,14,15,25,26,7,9
9013,5,24,26,30,35,5,12
9012,2,5,20,25,31,10,12
9011,2,11,13,14,21,2,4
9010,2,9,12,21,29,7,11
9009,12,18,23,26,32,6,9
9008,4,17,21,29,31,2,12
9007,6,14,15,29,35,6,11
